parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_extended
49,"Location (35.1323, -85.2382)",11577.988512018781,5,360,1,259,2.56,1.26,100.0,73.81,8.33,100.0,32.92,Excellent - High Frequency,High Reliability,239
195,"Location (35.1310, -85.2387)",11537.731296544687,6,374,1,290,3.08,1.31,100.0,70.68,8.33,100.0,32.6,Excellent - High Frequency,High Reliability,240
47,"Location (35.1304, -85.2379)",11438.144834532799,5,314,1,311,2.56,1.1,100.0,68.55,8.33,100.0,32.09,Excellent - High Frequency,High Reliability,241
57,"Location (35.1355, -85.2454)",12323.355336348768,7,434,1,346,3.59,1.52,100.0,65.02,8.33,100.0,31.94,Excellent - High Frequency,High Reliability,242
15,"Location (35.1343, -85.2443)",12168.104799504843,7,434,1,348,3.59,1.52,100.0,64.81,8.33,100.0,31.91,Excellent - High Frequency,High Reliability,243
250,"Location (35.0055, -85.2228)",11565.609490025465,18,1862,1,542,9.23,6.5,100.0,45.2,8.33,100.0,31.87,Excellent - High Frequency,High Reliability,244
218,"Location (35.1003, -85.2398)",10292.807598783485,4,96,2,94,2.05,0.34,80.0,90.5,16.67,100.0,31.85,Good - Moderate Frequency,High Reliability,245
98,"Location (35.1246, -85.2392)",11229.39560924146,13,794,1,488,6.67,2.77,100.0,50.66,8.33,100.0,30.93,Excellent - High Frequency,High Reliability,246
166,"Location (35.1325, -85.2367)",11471.784594175695,5,360,1,395,2.56,1.26,100.0,60.06,8.33,100.0,30.86,Excellent - High Frequency,High Reliability,247
2,"Location (35.1132, -85.2471)",11364.192388386673,11,660,1,479,5.64,2.31,100.0,51.57,8.33,100.0,30.67,Excellent - High Frequency,High Reliability,248
258,"Location (35.0114, -85.2393)",12299.5652353923,17,1760,1,620,8.72,6.15,100.0,37.31,8.33,100.0,30.45,Excellent - High Frequency,High Reliability,249
53,"Location (35.0985, -85.2375)",10038.740364563904,4,96,2,195,2.05,0.34,80.0,80.28,16.67,100.0,30.32,Good - Moderate Frequency,High Reliability,250
46,"Location (35.1015, -85.2385)",10209.529541382672,4,96,2,199,2.05,0.34,80.0,79.88,16.67,100.0,30.26,Good - Moderate Frequency,High Reliability,251
293,"Location (35.1237, -85.2408)",11308.579966236304,14,854,1,573,7.18,2.98,100.0,42.06,8.33,100.0,29.83,Excellent - High Frequency,High Reliability,252
72,"Location (35.0985, -85.2411)",10359.342609290978,4,96,2,229,2.05,0.34,80.0,76.85,16.67,100.0,29.81,Good - Moderate Frequency,High Reliability,253
289,"Location (35.0289, -85.2417)",11455.444428735049,16,1611,1,662,8.21,5.63,100.0,33.06,8.33,100.0,29.53,Excellent - High Frequency,High Reliability,254
161,Cell Waiting Lot,7831.405716430047,10,1034,1,608,5.13,3.61,100.0,38.52,8.33,97.89,28.98,Excellent - High Frequency,High Reliability,255
359,"Location (35.0308, -85.1743)",6488.098468502101,7,724,1,568,3.59,2.53,100.0,42.57,8.33,81.1,28.87,Excellent - High Frequency,High Reliability,256
