parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_moderate
310,Unum,16181.457574197351,133,18990,12,208,83.65,78.87,100.0,73.3,100.0,88.19,85.57,Excellent - High Frequency,High Reliability,28
363,"Location (35.0497, -85.3039)",16096.553826358062,134,17158,12,113,84.28,71.26,100.0,85.49,100.0,89.03,85.27,Excellent - High Frequency,High Reliability,29
425,"Location (35.0407, -85.3074)",16623.082664037836,128,18252,10,64,80.5,75.81,100.0,91.78,83.33,83.77,84.97,Excellent - High Frequency,High Reliability,30
451,"Location (35.0410, -85.3059)",16484.3024649258,133,18845,10,157,83.65,78.27,100.0,79.85,83.33,85.16,84.7,Excellent - High Frequency,High Reliability,31
448,"Location (35.0480, -85.3132)",16969.271018552554,123,19435,12,230,77.36,80.72,100.0,70.47,100.0,80.31,84.13,Excellent - High Frequency,High Reliability,32
381,"Location (35.0495, -85.3031)",16029.088627632473,123,15961,12,62,77.36,66.29,100.0,92.04,100.0,89.71,83.03,Excellent - High Frequency,High Reliability,33
449,"Location (35.0507, -85.3113)",16736.968889428194,104,17817,12,45,65.41,74.0,100.0,94.22,100.0,82.63,82.69,Excellent - High Frequency,High Reliability,34
298,"Location (35.0400, -85.3066)",16568.501956752803,125,16957,10,105,78.62,70.43,100.0,86.52,83.33,84.31,82.09,Excellent - High Frequency,High Reliability,35
283,"Location (35.0485, -85.3134)",16978.071487409667,116,18541,12,253,72.96,77.01,100.0,67.52,100.0,80.22,81.47,Excellent - High Frequency,High Reliability,36
367,"Location (35.0508, -85.3045)",16130.691964812297,117,16396,11,150,73.58,68.1,100.0,80.74,91.67,88.69,80.1,Excellent - High Frequency,High Reliability,37
406,"Location (35.0507, -85.3050)",16177.330964942808,118,16275,11,166,74.21,67.6,100.0,78.69,91.67,88.23,79.8,Excellent - High Frequency,High Reliability,38
422,"Location (35.0512, -85.3101)",16628.625284649537,102,15720,11,30,64.15,65.29,100.0,96.15,91.67,83.71,79.21,Excellent - High Frequency,High Reliability,39
419,"Location (35.0493, -85.3135)",16968.231163954893,107,17776,12,252,67.3,73.83,100.0,67.65,100.0,80.32,79.12,Excellent - High Frequency,High Reliability,40
321,"Location (35.0476, -85.3019)",15966.306868863656,116,13922,12,92,72.96,57.82,100.0,88.19,100.0,90.34,78.81,Excellent - High Frequency,High Reliability,41
404,"Location (35.0420, -85.3024)",16148.626481685827,112,14801,10,38,70.44,61.47,100.0,95.12,83.33,88.51,78.65,Excellent - High Frequency,High Reliability,42
242,"Location (35.0389, -85.3084)",16760.843058359744,114,15231,10,92,71.7,63.26,100.0,88.19,83.33,82.39,78.46,Excellent - High Frequency,High Reliability,43
125,"Location (35.0516, -85.3070)",16337.989328924748,105,15038,11,72,66.04,62.46,100.0,90.76,91.67,86.62,78.03,Excellent - High Frequency,High Reliability,44
249,"Location (35.0405, -85.3140)",17211.462347659683,104,15602,10,77,65.41,64.8,100.0,90.12,83.33,77.89,77.64,Excellent - High Frequency,High Reliability,45
331,"Location (35.0399, -85.3122)",17071.805458025196,112,15733,10,182,70.44,65.34,100.0,76.64,83.33,79.28,77.04,Excellent - High Frequency,High Reliability,46
157,"Location (35.0387, -85.3114)",17034.869119738145,104,14582,10,72,65.41,60.56,100.0,90.76,83.33,79.65,76.47,Excellent - High Frequency,High Reliability,47
267,"Location (35.0507, -85.3124)",16835.740108463662,94,15570,11,144,59.12,64.67,100.0,81.51,91.67,81.64,75.57,Excellent - High Frequency,High Reliability,48
211,"Location (35.0503, -85.3132)",16921.75745981278,99,15952,11,225,62.26,66.25,100.0,71.12,91.67,80.78,75.28,Excellent - High Frequency,High Reliability,49
106,"Location (35.0463, -85.3161)",17263.52935324641,85,14658,11,201,53.46,60.88,100.0,74.2,91.67,77.36,71.93,Excellent - High Frequency,High Reliability,50
431,48,15916.949367174317,96,10021,11,50,60.38,41.62,100.0,93.58,91.67,90.83,70.78,Excellent - High Frequency,High Reliability,51
