parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_conservative
17,"Location (35.0321, -85.1578)",5561.960860268819,3,311,1,117,3.61,2.1,100.0,76.02,9.09,69.52,33.85,Excellent - High Frequency,High Reliability,181
356,"Location (35.0318, -85.1846)",7022.89688145134,5,517,1,155,6.02,3.49,100.0,68.24,9.09,87.79,33.7,Excellent - High Frequency,High Reliability,182
52,"Location (35.0554, -85.3148)",16978.534638421217,9,1829,3,353,10.84,12.34,100.0,27.66,27.27,80.21,33.29,Excellent - High Frequency,High Reliability,183
444,"Location (35.0226, -85.3200)",18303.894767335743,7,343,1,182,8.43,2.31,100.0,62.7,9.09,66.96,33.12,Excellent - High Frequency,High Reliability,184
436,"Location (35.0614, -85.2981)",15378.775576446165,7,420,1,187,8.43,2.83,100.0,61.68,9.09,96.21,33.12,Excellent - High Frequency,High Reliability,185
41,"Location (35.0119, -85.2118)",10348.457393685041,11,1067,1,270,13.25,7.2,100.0,44.67,9.09,100.0,33.08,Excellent - High Frequency,High Reliability,186
294,"Location (35.0499, -85.3206)",17589.265226945787,6,335,1,173,7.23,2.26,100.0,64.55,9.09,74.11,33.08,Excellent - High Frequency,High Reliability,187
110,"Location (35.0308, -85.3055)",16760.93912439189,12,897,2,299,14.46,6.05,100.0,38.73,18.18,82.39,33.06,Excellent - High Frequency,High Reliability,188
31,"Location (35.0462, -85.3227)",17859.26257989557,11,650,1,244,13.25,4.39,100.0,50.0,9.09,71.41,33.04,Excellent - High Frequency,High Reliability,189
230,"Location (35.1320, -85.2399)",11693.430679578463,2,180,1,129,2.41,1.21,100.0,73.57,9.09,100.0,32.91,Excellent - High Frequency,Moderate Reliability,190
116,"Location (35.0350, -85.3162)",17564.596045063816,15,791,1,297,18.07,5.34,100.0,39.14,9.09,74.35,32.9,Excellent - High Frequency,High Reliability,191
12,"Location (35.0266, -85.1941)",8049.539458071221,5,517,1,183,6.02,3.49,100.0,62.5,9.09,100.0,32.84,Excellent - High Frequency,High Reliability,192
142,"Location (35.0196, -85.3137)",17882.451680494763,4,300,1,159,4.82,2.02,100.0,67.42,9.09,71.18,32.83,Excellent - High Frequency,High Reliability,193
81,"Location (35.0743, -85.1868)",5134.277190232825,6,102,1,171,7.23,0.69,100.0,64.96,9.09,64.18,32.67,Excellent - High Frequency,High Reliability,194
7,"Location (35.0098, -85.2057)",10122.094320735687,3,311,1,158,3.61,2.1,100.0,67.62,9.09,100.0,32.59,Excellent - High Frequency,High Reliability,195
423,"Location (35.0323, -85.1858)",7061.071476816894,4,414,1,189,4.82,2.79,100.0,61.27,9.09,88.26,32.14,Excellent - High Frequency,High Reliability,196
35,"Location (35.1314, -85.2414)",11770.766305639338,2,180,1,158,2.41,1.21,100.0,67.62,9.09,100.0,32.02,Excellent - High Frequency,Moderate Reliability,197
58,"Location (35.0353, -85.1609)",5385.073552751115,2,310,1,177,2.41,2.09,100.0,63.73,9.09,67.31,31.7,Excellent - High Frequency,Moderate Reliability,198
126,"Location (35.0871, -85.1891)",5457.218692976104,6,57,1,70,7.23,0.38,80.0,85.66,9.09,68.22,31.68,Good - Moderate Frequency,High Reliability,199
21,"Location (35.0295, -85.3069)",16926.71662297923,8,600,1,258,9.64,4.05,100.0,47.13,9.09,80.73,31.6,Excellent - High Frequency,High Reliability,200
90,Highland Plaza,12767.793759533346,2,120,1,170,2.41,0.81,100.0,65.16,9.09,100.0,31.53,Excellent - High Frequency,Moderate Reliability,201
226,"Location (35.0600, -85.3011)",15670.64515219331,6,506,2,266,7.23,3.41,100.0,45.49,18.18,93.29,31.47,Excellent - High Frequency,High Reliability,202
13,"Location (35.1397, -85.2457)",12593.87923343029,2,120,1,174,2.41,0.81,100.0,64.34,9.09,100.0,31.41,Excellent - High Frequency,Moderate Reliability,203
231,"Location (35.0061, -85.2141)",10950.245230460316,7,724,1,263,8.43,4.88,100.0,46.11,9.09,100.0,31.4,Excellent - High Frequency,High Reliability,204
133,"Location (35.0580, -85.2772)",13536.43498529075,4,95,2,101,4.82,0.64,80.0,79.3,18.18,100.0,31.11,Good - Moderate Frequency,High Reliability,205
95,"Location (35.0369, -85.1581)",5101.151819356967,3,413,1,217,3.61,2.79,100.0,55.53,9.09,63.76,30.98,Excellent - High Frequency,High Reliability,206
178,"Location (35.0213, -85.3238)",18675.929195071178,8,568,2,308,9.64,3.83,100.0,36.89,18.18,63.24,30.91,Excellent - High Frequency,High Reliability,207
269,"Location (35.0245, -85.3113)",17485.106873188568,3,225,1,219,3.61,1.52,100.0,55.12,9.09,75.15,30.54,Excellent - High Frequency,High Reliability,208
156,"Location (35.0327, -85.1841)",6921.977172744164,5,518,1,263,6.02,3.49,100.0,46.11,9.09,86.52,30.38,Excellent - High Frequency,High Reliability,209
115,"Location (35.0331, -85.1567)",5416.221546708479,3,311,1,236,3.61,2.1,100.0,51.64,9.09,67.7,30.19,Excellent - High Frequency,High Reliability,210
29,"Location (35.0365, -85.1552)",5012.728347499456,6,725,1,293,7.23,4.89,100.0,39.96,9.09,62.66,30.18,Excellent - High Frequency,High Reliability,211
218,"Location (35.1003, -85.2398)",10292.807598783485,3,64,1,94,3.61,0.43,80.0,80.74,9.09,100.0,30.05,Good - Moderate Frequency,High Reliability,212
5,"Location (34.9952, -85.3113)",18821.777424536063,8,600,1,310,9.64,4.05,100.0,36.48,9.09,61.78,30.0,Excellent - High Frequency,High Reliability,213
25,"Location (35.0486, -85.3163)",17232.03275302098,7,398,1,299,8.43,2.69,100.0,38.73,9.09,77.68,29.63,Excellent - High Frequency,High Reliability,214
16,"Location (35.1371, -85.2424)",12191.700807045909,2,120,1,234,2.41,0.81,100.0,52.05,9.09,100.0,29.56,Excellent - High Frequency,Moderate Reliability,215
77,"Location (35.0373, -85.3177)",17625.92462199118,7,441,1,312,8.43,2.98,100.0,36.07,9.09,73.74,29.32,Excellent - High Frequency,High Reliability,216
238,"Location (35.1338, -85.2408)",11859.667775190463,1,60,1,110,1.2,0.4,80.0,77.46,9.09,100.0,28.95,Good - Moderate Frequency,Low Reliability,217
49,"Location (35.1323, -85.2382)",11577.988512018781,2,180,1,259,2.41,1.21,100.0,46.93,9.09,100.0,28.91,Excellent - High Frequency,Moderate Reliability,218
42,"Location (35.0338, -85.1606)",5512.802843370634,2,310,1,268,2.41,2.09,100.0,45.08,9.09,68.91,28.9,Excellent - High Frequency,Moderate Reliability,219
297,"Location (35.0565, -85.2797)",13787.75021527356,3,80,1,135,3.61,0.54,80.0,72.34,9.09,100.0,28.83,Good - Moderate Frequency,High Reliability,220
70,"Location (35.1287, -85.2380)",11352.004533771475,1,120,1,249,1.2,0.81,100.0,48.98,9.09,100.0,28.8,Excellent - High Frequency,Low Reliability,221
256,"Location (35.0625, -85.2756)",13327.394721544599,3,56,2,175,3.61,0.38,80.0,64.14,18.18,100.0,28.46,Good - Moderate Frequency,High Reliability,222
10,"Location (35.0348, -85.1568)",5249.99127523449,5,622,1,338,6.02,4.2,100.0,30.74,9.09,65.62,28.28,Excellent - High Frequency,High Reliability,223
195,"Location (35.1310, -85.2387)",11537.731296544687,2,180,1,290,2.41,1.21,100.0,40.57,9.09,100.0,27.96,Excellent - High Frequency,Moderate Reliability,224
196,"Location (35.1336, -85.2397)",11768.734524876905,1,60,1,146,1.2,0.4,80.0,70.08,9.09,100.0,27.84,Good - Moderate Frequency,Low Reliability,225
48,"Location (35.0574, -85.2803)",13832.775324212795,3,80,1,167,3.61,0.54,80.0,65.78,9.09,100.0,27.84,Good - Moderate Frequency,High Reliability,226
128,"Location (35.0543, -85.2811)",13962.038792774112,2,56,1,160,2.41,0.38,80.0,67.21,9.09,100.0,27.71,Good - Moderate Frequency,Moderate Reliability,227
47,"Location (35.1304, -85.2379)",11438.144834532799,2,180,1,311,2.41,1.21,100.0,36.27,9.09,100.0,27.32,Excellent - High Frequency,Moderate Reliability,228
82,"Location (35.0981, -85.2447)",10668.924524613412,3,66,2,213,3.61,0.45,80.0,56.35,18.18,100.0,27.31,Good - Moderate Frequency,High Reliability,229
72,"Location (35.0985, -85.2411)",10359.342609290978,4,96,2,229,4.82,0.65,80.0,53.07,18.18,100.0,27.18,Good - Moderate Frequency,High Reliability,230
86,"Location (35.1268, -85.2384)",11284.862676867533,1,120,1,306,1.2,0.81,100.0,37.3,9.09,100.0,27.05,Excellent - High Frequency,Low Reliability,231
53,"Location (35.0985, -85.2375)",10038.740364563904,3,64,1,195,3.61,0.43,80.0,60.04,9.09,100.0,26.95,Good - Moderate Frequency,High Reliability,232
198,"Location (35.0546, -85.2827)",14097.194634948855,2,56,1,206,2.41,0.38,80.0,57.79,9.09,100.0,26.29,Good - Moderate Frequency,Moderate Reliability,233
162,"Location (35.0554, -85.2832)",14122.512198025344,2,56,1,206,2.41,0.38,80.0,57.79,9.09,100.0,26.29,Good - Moderate Frequency,Moderate Reliability,234
57,"Location (35.1355, -85.2454)",12323.355336348768,2,120,1,346,2.41,0.81,100.0,29.1,9.09,100.0,26.12,Excellent - High Frequency,Moderate Reliability,235
15,"Location (35.1343, -85.2443)",12168.104799504843,2,120,1,348,2.41,0.81,100.0,28.69,9.09,100.0,26.06,Excellent - High Frequency,Moderate Reliability,236
202,"Location (35.0730, -85.2366)",9682.087855690073,5,46,1,122,6.02,0.31,60.0,75.0,9.09,100.0,25.76,Fair - Basic Service,Moderate Reliability,237
376,"Location (35.0964, -85.2532)",11394.525841731122,3,64,2,289,3.61,0.43,80.0,40.78,18.18,100.0,24.97,Good - Moderate Frequency,High Reliability,238
303,"Location (35.0959, -85.2549)",11535.472456274978,3,64,2,289,3.61,0.43,80.0,40.78,18.18,100.0,24.97,Good - Moderate Frequency,High Reliability,239
187,"Location (35.1345, -85.2393)",11793.705698179541,1,60,1,244,1.2,0.4,80.0,50.0,9.09,100.0,24.83,Good - Moderate Frequency,Low Reliability,240
118,"Location (35.0641, -85.2729)",13064.058987025759,2,32,1,123,2.41,0.22,60.0,74.8,9.09,100.0,24.8,Fair - Basic Service,Moderate Reliability,241
219,"Location (35.0754, -85.2644)",12207.120358534537,2,64,1,291,2.41,0.43,80.0,40.37,9.09,100.0,23.7,Good - Moderate Frequency,Moderate Reliability,242
144,"Location (35.0997, -85.2429)",10546.21739821448,4,96,2,353,4.82,0.65,80.0,27.66,18.18,100.0,23.37,Good - Moderate Frequency,High Reliability,243
46,"Location (35.1015, -85.2385)",10209.529541382672,1,30,1,199,1.2,0.2,60.0,59.22,9.09,100.0,22.15,Fair - Basic Service,Low Reliability,244
98,"Location (35.1246, -85.2392)",11229.39560924146,1,120,1,488,1.2,0.81,100.0,0.0,9.09,100.0,21.45,Excellent - High Frequency,Low Reliability,245
166,"Location (35.1325, -85.2367)",11471.784594175695,1,60,1,395,1.2,0.4,80.0,19.06,9.09,100.0,20.19,Good - Moderate Frequency,Low Reliability,246
365,"Location (35.0652, -85.2739)",13135.479297649694,1,17,1,197,1.2,0.11,40.0,59.63,9.09,100.0,18.19,Limited - Minimal Service,Low Reliability,247
2,"Location (35.1132, -85.2471)",11364.192388386673,1,60,1,479,1.2,0.4,80.0,1.84,9.09,100.0,17.61,Good - Moderate Frequency,Low Reliability,248
183,"Location (35.0733, -85.1997)",6321.051118763003,2,34,1,367,2.41,0.23,60.0,24.8,9.09,79.01,17.3,Fair - Basic Service,Moderate Reliability,249
37,"Location (35.1008, -85.2344)",9828.951655446512,1,30,1,440,1.2,0.2,60.0,9.84,9.09,100.0,14.75,Fair - Basic Service,Low Reliability,250
324,"Location (35.0912, -85.2237)",8635.993054030803,1,17,1,444,1.2,0.11,40.0,9.02,9.09,100.0,10.6,Limited - Minimal Service,Low Reliability,251
